00 011110101111000110011001
F5 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
F6 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
F7 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
F8 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
F9 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
FA 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
FB 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
FC 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
FD 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
FE 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
FF 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
